thinkBack: Stock quote and option quote for SNDK on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
69.86,-.94,"4,786,373",69.98,70.33,69.31

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.03,.01,.00,.02,.00,.10,27.80%,2.10%,97.90%,4.35%,0,510,0,.095,.06,.13,JAN 14,90,18.60,22.30,-.96,.01,-.01,.03,-.19,20.45,29.47%,97.29%,2.71%,5.62%,0,9,20.14,.31

APR 14  (170)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.89,.01,-.01,.08,.11,17.98,35.77%,84.77%,15.23%,28.48%,0,134,17.36,.615,17.85,18.10,APR 14,52.5,.79,.83,-.09,.01,-.01,.08,-.03,.81,34.51%,14.16%,85.84%,26.56%,10,"5,499",0,.81
.87,.01,-.01,.10,.13,15.75,34.02%,81.37%,18.63%,34.80%,1,21,14.86,.89,15.65,15.85,APR 14,55,1.15,1.19,-.13,.01,-.01,.10,-.05,1.17,33.98%,18.59%,81.41%,34.74%,10,674,0,1.17
.83,.02,-.01,.12,.15,13.67,33.12%,76.62%,23.38%,43.56%,91,103,12.36,1.315,13.60,13.75,APR 14,57.5,1.60,1.64,-.17,.02,-.01,.12,-.06,1.62,33.30%,23.55%,76.45%,43.85%,30,220,0,1.62
.78,.02,-.01,.14,.16,11.75,32.54%,70.95%,29.05%,53.90%,10,253,9.86,1.89,11.70,11.80,APR 14,60,2.17,2.22,-.22,.02,-.01,.14,-.08,2.20,32.68%,29.16%,70.84%,54.08%,19,650,0,2.195
.72,.02,-.01,.16,.16,9.98,32.06%,64.71%,35.29%,65.17%,10,265,7.36,2.615,9.90,10.05,APR 14,62.5,2.89,2.94,-.27,.02,-.02,.16,-.10,2.92,32.12%,35.33%,64.67%,65.24%,25,488,0,2.915
.66,.02,-.01,.17,.16,8.35,31.56%,58.13%,41.87%,76.94%,102,"1,527",4.86,3.49,8.30,8.40,APR 14,65,3.75,3.85,-.33,.02,-.02,.17,-.13,3.80,31.64%,41.91%,58.09%,77.00%,5,488,0,3.80
.60,.03,-.02,.18,.15,6.90,31.13%,51.35%,48.65%,88.91%,14,399,2.36,4.54,6.85,6.95,APR 14,67.5,4.80,4.90,-.40,.03,-.02,.18,-.15,4.85,31.19%,48.67%,51.33%,88.93%,15,176,0,4.85
.53,.03,-.02,.19,.14,5.65,30.87%,44.58%,55.42%,99.12%,51,499,0,5.65,5.60,5.70,APR 14,70,6.05,6.15,-.47,.03,-.02,.19,-.18,6.10,30.92%,55.42%,44.58%,99.12%,21,485,.14,5.96
.46,.03,-.02,.19,.12,4.55,30.53%,38.08%,61.92%,83.92%,71,589,0,4.55,4.50,4.60,APR 14,72.5,7.45,7.55,-.53,.03,-.02,.19,-.21,7.50,30.58%,61.92%,38.08%,83.94%,10,452,2.64,4.86
.40,.03,-.02,.18,.11,3.60,30.13%,31.95%,68.05%,69.86%,8,622,0,3.60,3.55,3.65,APR 14,75,9.00,9.10,-.60,.03,-.02,.18,-.24,9.05,30.18%,68.03%,31.97%,69.90%,20,547,5.14,3.91
.33,.03,-.01,.17,.09,2.86,30.04%,26.45%,73.55%,57.48%,7,703,0,2.855,2.83,2.88,APR 14,77.5,10.75,10.85,-.66,.03,-.02,.17,-.27,10.80,30.08%,73.53%,26.47%,57.52%,0,1,7.64,3.16
.28,.02,-.01,.16,.08,2.23,29.89%,21.57%,78.43%,46.60%,0,768,0,2.23,2.21,2.25,APR 14,80,12.60,12.70,-.72,.02,-.02,.16,-.29,12.65,29.78%,78.49%,21.51%,46.46%,0,15,10.14,2.51
.19,.02,-.01,.13,.05,1.32,29.63%,13.77%,86.23%,29.47%,0,548,0,1.32,1.30,1.34,APR 14,85,16.35,17.25,-.80,.02,-.01,.13,-.34,16.80,30.00%,85.99%,14.01%,30.01%,0,0,15.14,1.66
.12,.01,-.01,.10,.04,.77,29.55%,8.44%,91.56%,17.94%,0,318,0,.765,.75,.78,APR 14,90,21.15,21.30,-.87,.01,-.01,.10,-.38,21.23,29.90%,91.35%,8.65%,18.40%,0,1,20.14,1.085

JAN 15  (443)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.81,.01,-.01,.19,.30,19.73,34.24%,70.50%,29.50%,52.43%,0,163,17.36,2.365,19.65,19.80,JAN 15,52.5,3.05,3.15,-.18,.01,-.01,.20,-.19,3.10,34.45%,29.69%,70.31%,52.73%,1,366,0,3.10
.78,.01,-.01,.21,.32,17.90,33.73%,66.55%,33.45%,59.21%,3,411,14.86,3.04,17.80,18.00,JAN 15,55,3.75,3.85,-.21,.01,-.01,.22,-.22,3.80,34.02%,33.70%,66.30%,59.60%,20,"1,888",0,3.80
.75,.01,-.01,.24,.34,16.20,33.38%,62.37%,37.63%,66.31%,0,363,12.36,3.84,16.10,16.30,JAN 15,57.5,4.50,4.65,-.24,.01,-.01,.24,-.26,4.58,33.52%,37.74%,62.26%,66.48%,0,423,0,4.575
.71,.01,-.01,.25,.34,14.53,32.74%,58.34%,41.66%,73.15%,0,"1,080",9.86,4.665,14.45,14.60,JAN 15,60,5.40,5.50,-.28,.01,-.01,.26,-.30,5.45,33.05%,41.87%,58.13%,73.44%,0,528,0,5.45
.67,.01,-.01,.27,.34,13.05,32.51%,54.01%,45.99%,80.32%,3,424,7.36,5.69,12.95,13.15,JAN 15,62.5,6.40,6.50,-.32,.01,-.01,.27,-.35,6.45,32.69%,46.09%,53.91%,80.45%,0,447,0,6.45
.63,.02,-.01,.28,.34,11.67,32.26%,49.76%,50.24%,87.28%,0,665,4.86,6.815,11.60,11.75,JAN 15,65,7.50,7.60,-.36,.01,-.01,.29,-.40,7.55,32.33%,50.27%,49.73%,87.31%,0,232,0,7.55
.59,.02,-.01,.29,.33,10.35,31.83%,45.67%,54.33%,93.93%,0,78,2.36,7.99,10.30,10.40,JAN 15,67.5,8.70,8.85,-.40,.02,-.01,.29,-.44,8.77,32.05%,54.40%,45.60%,93.99%,0,231,0,8.775
.55,.02,-.01,.30,.32,9.17,31.56%,41.63%,58.37%,99.41%,8,397,0,9.175,9.10,9.25,JAN 15,70,10.00,10.15,-.44,.02,-.01,.30,-.49,10.07,31.70%,58.39%,41.61%,99.42%,0,151,.14,9.935
.51,.02,-.01,.30,.31,8.10,31.30%,37.76%,62.24%,89.30%,3,392,0,8.10,8.05,8.15,JAN 15,72.5,11.40,11.55,-.48,.02,-.01,.30,-.55,11.47,31.35%,62.25%,37.75%,89.32%,0,5,2.64,8.835
.47,.02,-.01,.30,.29,7.12,31.06%,34.07%,65.93%,79.88%,0,343,0,7.125,7.05,7.20,JAN 15,75,12.90,13.05,-.52,.02,-.01,.30,-.60,12.97,31.03%,65.93%,34.07%,79.86%,10,142,5.14,7.835
.43,.02,-.01,.30,.27,6.25,30.85%,30.59%,69.41%,71.16%,11,17,0,6.25,6.20,6.30,JAN 15,77.5,14.55,14.70,-.56,.02,-.01,.30,-.65,14.63,30.91%,69.40%,30.60%,71.21%,0,6,7.64,6.985
.39,.02,-.01,.29,.25,5.45,30.60%,27.32%,72.68%,63.10%,0,349,0,5.45,5.40,5.50,JAN 15,80,16.25,16.40,-.60,.02,-.01,.29,-.70,16.33,30.67%,72.65%,27.35%,63.17%,0,111,10.14,6.185
.32,.02,-.01,.27,.21,4.13,30.23%,21.53%,78.47%,49.09%,1,351,0,4.125,4.05,4.20,JAN 15,85,19.85,20.05,-.67,.02,-.01,.27,-.81,19.95,30.15%,78.50%,21.50%,49.00%,0,101,15.14,4.81
.26,.01,-.01,.25,.18,3.07,29.85%,16.66%,83.34%,37.58%,0,263,0,3.075,3.00,3.15,JAN 15,90,23.80,24.00,-.73,.01,-.01,.25,-.91,23.90,29.82%,83.36%,16.64%,37.54%,0,39,20.14,3.76

JAN 16  (806)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.77,.01,-.01,.29,.50,21.90,34.22%,60.77%,39.23%,66.56%,0,13,17.36,4.54,21.80,22.00,JAN 16,52.5,5.80,5.95,-.21,.01,-.01,.30,-.46,5.88,34.95%,39.87%,60.13%,67.42%,3,25,0,5.875
.75,.01,-.01,.31,.52,20.38,34.07%,57.32%,42.68%,72.03%,0,105,14.86,5.515,20.20,20.55,JAN 16,55,6.70,6.85,-.24,.01,-.01,.32,-.52,6.78,34.52%,43.03%,56.97%,72.48%,1,17,0,6.775
.72,.01,-.01,.33,.53,18.80,33.54%,54.24%,45.76%,76.96%,0,9,12.36,6.44,18.70,18.90,JAN 16,57.5,7.70,7.85,-.27,.01,-.01,.34,-.58,7.77,34.19%,46.22%,53.78%,77.52%,0,2,0,7.775
.69,.01,-.01,.35,.54,17.45,33.46%,50.89%,49.11%,82.15%,1,58,9.86,7.59,17.30,17.60,JAN 16,60,8.75,8.90,-.29,.01,-.01,.35,-.65,8.83,33.79%,49.32%,50.68%,82.37%,0,26,0,8.825
.66,.01,-.01,.37,.55,16.05,33.01%,47.85%,52.15%,86.89%,0,15,7.36,8.69,15.95,16.15,JAN 16,62.5,9.90,10.10,-.32,.01,-.01,.37,-.72,10.00,33.54%,52.43%,47.57%,87.16%,0,9,0,10.00
.63,.01,-.01,.38,.55,14.80,32.79%,44.77%,55.23%,91.57%,0,8,4.86,9.94,14.70,14.90,JAN 16,65,11.10,11.30,-.35,.01,-.01,.38,-.79,11.20,33.17%,55.39%,44.61%,91.69%,0,37,0,11.20
.60,.01,-.01,.39,.54,13.67,32.69%,41.76%,58.24%,96.04%,0,7,2.36,11.315,13.50,13.85,JAN 16,67.5,12.45,12.60,-.38,.01,-.01,.39,-.86,12.52,32.94%,58.32%,41.68%,96.08%,0,34,0,12.525
.57,.01,-.01,.40,.53,12.50,32.28%,38.96%,61.04%,99.54%,1,147,0,12.50,12.40,12.60,JAN 16,70,13.80,14.00,-.41,.01,-.01,.40,-.94,13.90,32.66%,61.13%,38.87%,99.54%,0,31,.14,13.76
.54,.01,-.01,.40,.52,11.47,32.08%,36.22%,63.78%,91.61%,0,291,0,11.475,11.35,11.60,JAN 16,72.5,15.25,15.45,-.44,.01,-.01,.40,-1.01,15.35,32.40%,63.83%,36.17%,91.67%,0,0,2.64,12.71
.51,.01,-.01,.41,.50,10.50,31.84%,33.60%,66.40%,84.19%,0,374,0,10.50,10.40,10.60,JAN 16,75,16.75,16.95,-.47,.01,-.01,.40,-1.09,16.85,32.10%,66.41%,33.59%,84.28%,0,5,5.14,11.71
.48,.01,-.01,.41,.49,9.60,31.63%,31.11%,68.89%,77.26%,0,0,0,9.60,9.50,9.70,JAN 16,77.5,18.35,18.60,-.50,.01,-.01,.40,-1.17,18.48,31.96%,68.88%,31.12%,77.44%,0,1,7.64,10.835
.46,.01,-.01,.40,.47,8.80,31.51%,28.75%,71.25%,70.87%,3,43,0,8.80,8.70,8.90,JAN 16,80,20.00,20.20,-.52,.01,-.01,.40,-1.25,20.10,31.67%,71.23%,28.77%,70.98%,0,5,10.14,9.96
.40,.01,-.01,.40,.43,7.35,31.21%,24.44%,75.56%,59.40%,0,43,0,7.35,7.20,7.50,JAN 16,85,23.45,23.70,-.58,.01,-.01,.39,-1.41,23.57,31.23%,75.56%,24.44%,59.41%,0,0,15.14,8.435
.35,.01,-.01,.38,.39,6.07,30.83%,20.62%,79.38%,49.46%,0,84,0,6.075,6.00,6.15,JAN 16,90,27.15,27.40,-.63,.01,-.01,.38,-1.57,27.28,30.83%,79.38%,20.62%,49.46%,6,75,20.14,7.135
